,structure,Density
0,qmof-3c96780,1.53717
1,qmof-330a403,1.41493
2,qmof-fa45775,1.21712
3,qmof-c7f2375,0.400107
4,qmof-f78bdeb,2.49667
5,qmof-de8f90e,2.09607
6,qmof-efd4739,1.47221
7,qmof-6211a16,1.67912
8,qmof-1269b58,1.49515
9,qmof-f78137f,1.85224
10,qmof-cd92f99,1.57437
11,qmof-a6685ea,0.571356
12,qmof-015ea49,1.36864
13,qmof-38e57cf,1.53976
14,qmof-da90427,1.8712
15,qmof-ce2d153,2.09529
16,qmof-da04278,2.18577
17,qmof-8b5ef75,1.37453
18,qmof-8f4bbfc,1.46554
19,qmof-f198a27,1.42942
20,qmof-91c48af,1.68185
21,qmof-9d80c83,1.99865
22,qmof-2f736ac,0.98898
23,qmof-e74af87,2.26965
24,qmof-fc5343a,1.66129
25,qmof-c634231,1.84976
26,qmof-94e8b5f,1.81419
27,qmof-555ae53,1.42173
28,qmof-013919a,0.577877
29,qmof-6f636df,0.402121
30,qmof-97ba46c,1.84215
31,qmof-63f404f,3.04748
32,qmof-762c740,1.44805
33,qmof-45f099f,1.59914
34,qmof-c716cfc,2.08522
35,qmof-fe2bc2d,1.75964
36,qmof-0b98df9,2.13319
37,qmof-02e961c,0.320098
38,qmof-bb1d955,1.34445
39,qmof-30293ad,0.606124
40,qmof-6edb7fd,1.84527
41,qmof-2e3199e,2.1306
42,qmof-b96fb0a,1.85692
43,qmof-8878ef9,2.10254
44,qmof-acebfa5,1.58337
45,qmof-faa99ba,1.564
46,qmof-4134e8a,2.51511
47,qmof-d3fa2a6,2.93244
48,qmof-65319e1,1.65273
49,qmof-e90a633,1.07793
50,qmof-97d5d0e,0.240949
51,qmof-23eba6f,1.42099
52,qmof-4cd5f97,2.21334
53,qmof-7c5270b,0.575017
54,qmof-8ceaacf,1.52763
55,qmof-3c74de3,2.06491
56,qmof-8010674,1.44945
57,qmof-965b897,2.69532
58,qmof-ff5eefd,2.13231
59,qmof-af3d545,1.59797
60,qmof-a19fb5f,1.63173
61,qmof-62539f9,0.705502
62,qmof-e458a47,2.46637
63,qmof-d71e4e0,0.745121
64,qmof-e8baa7b,1.56847
65,qmof-af907bf,0.906472
66,qmof-9e3044c,1.65438
67,qmof-adb2c4d,1.24253
68,qmof-226d00b,0.703511
69,qmof-80b4f23,2.58184
70,qmof-8aecaef,1.7245
71,qmof-1da28d0,2.06363
72,qmof-556d7b3,1.6558
73,qmof-0b0f0b1,1.83895
74,qmof-f55a288,0.179412
75,qmof-16257f4,1.18535
76,qmof-002580c,1.58841
77,qmof-ddb2d23,2.71845
78,qmof-59a550a,0.432246
79,qmof-bb81f22,2.69635
80,qmof-6f17d1f,1.00856
81,qmof-78ef147,2.15093
82,qmof-1830dec,1.27937
83,qmof-8c7fa0e,1.1359
84,qmof-f621a85,1.7164
85,qmof-054db11,1.84563
86,qmof-0625810,0.640344
87,qmof-ee1da8c,2.48149
88,qmof-3c064d3,1.69032
89,qmof-e4cd671,1.29494
90,qmof-b14702d,2.18029
91,qmof-27e7e43,1.79472
92,qmof-4f53a88,2.21008
93,qmof-505096a,2.48162
94,qmof-daf7014,1.29436
95,qmof-68f63a9,2.8122
