,structure,Density
0,RSM2256,1.18862
1,RSM4479,1.05093
2,RSM2682,1.02104
3,RSM4556,0.42491
4,RSM2432,1.60366
5,RSM1431,1.09134
6,RSM4320,1.44424
7,RSM4538,1.05222
8,RSM1235,1.14894
9,RSM2133,1.98894
10,RSM2018,1.13751
11,RSM4286,0.745507
12,RSM0872,2.0404
13,RSM3527,1.79529
14,RSM3896,1.01874
15,RSM1684,0.721551
16,RSM4417,0.584459
17,RSM4234,0.672545
18,RSM3738,0.631546
19,RSM2459,1.94207
20,RSM3579,1.09312
21,RSM3449,1.4221
22,RSM1176,1.0493
23,RSM4186,0.91846
24,RSM3860,1.23036
25,RSM2099,0.772138
26,RSM4555,1.04472
27,RSM2257,1.03851
28,RSM2337,1.18823
29,RSM4486,0.784804
30,RSM0330,2.22313
31,RSM0043,0.984742
32,RSM1871,1.60929
33,RSM3506,1.33767
34,RSM0498,0.986702
35,RSM3275,1.30221
36,RSM4008,1.54693
37,RSM2667,0.890752
38,RSM3110,1.11486
39,RSM3902,0.91794
40,RSM3556,1.11783
41,RSM0596,2.00031
42,RSM4438,0.438108
43,RSM2152,2.15801
44,RSM3009,1.1358
45,RSM1608,1.74504
46,RSM4565,1.00474
47,RSM1252,1.24313
48,RSM3734,0.625441
49,RSM2872,1.20273
50,RSM4423,0.692804
51,RSM3489,1.22083
52,RSM3381,1.49939
53,RSM0152,1.93727
54,RSM1460,1.21179
55,RSM1689,1.40647
56,RSM1594,1.19093
57,RSM2513,1.80196
58,RSM1717,1.28246
59,RSM3401,1.00982
60,RSM2563,1.18451
61,RSM3583,1.33101
62,RSM1501,1.39336
63,RSM1995,2.11839
64,RSM4370,0.691602
65,RSM0240,1.77921
66,RSM1994,0.673898
67,RSM2035,1.00494
68,RSM2912,0.954835
69,RSM3925,0.461254
70,RSM4418,1.40845
71,RSM3358,0.797204
72,RSM3326,1.43445
73,RSM2002,1.42862
74,RSM1927,1.06398
75,RSM0317,1.58303
76,RSM0087,2.08303
77,RSM3704,0.981639
78,RSM1489,1.19978
79,RSM2496,2.34224
80,RSM2104,0.891924
81,RSM0316,1.69504
82,RSM1326,1.99696
83,RSM1917,1.00223
84,RSM3595,1.23724
85,RSM2670,1.36939
86,RSM2963,1.48545
87,RSM2072,0.759342
88,RSM0705,1.38151
89,RSM0398,1.54932
90,RSM0184,1.32938
91,RSM3367,1.31971
92,RSM3391,0.859399
93,RSM0117,1.59304
94,RSM2871,1.98899
95,RSM2280,1.6814
96,RSM1167,1.29436
97,RSM2175,1.84338
98,RSM2791,1.0981
99,RSM3325,0.75289
100,RSM2840,1.67503
101,RSM0789,1.34684
102,RSM0954,1.70389
103,RSM4198,1.95583
104,RSM0858,0.965907
105,RSM3646,1.27781
106,RSM1026,2.26869
107,RSM0684,1.72688
108,RSM2558,1.70085
109,RSM0702,1.98155
110,RSM3169,1.09573
111,RSM1100,2.95342
112,RSM0062,0.937563
113,RSM3514,0.827675
114,RSM1333,1.46798
115,RSM2954,1.50946
116,RSM1376,1.56105
117,RSM1497,1.35214
118,RSM1077,1.7313
