type,mc_CRY-chi-0-all,mc_CRY-chi-1-all,mc_CRY-chi-2-all,mc_CRY-chi-3-all,mc_CRY-Z-0-all,mc_CRY-Z-1-all,mc_CRY-Z-2-all,mc_CRY-Z-3-all,mc_CRY-I-0-all,mc_CRY-I-1-all,mc_CRY-I-2-all,mc_CRY-I-3-all,mc_CRY-T-0-all,mc_CRY-T-1-all,mc_CRY-T-2-all,mc_CRY-T-3-all,mc_CRY-S-0-all,mc_CRY-S-1-all,mc_CRY-S-2-all,mc_CRY-S-3-all,D_mc_CRY-chi-0-all,D_mc_CRY-chi-1-all,D_mc_CRY-chi-2-all,D_mc_CRY-chi-3-all,D_mc_CRY-Z-0-all,D_mc_CRY-Z-1-all,D_mc_CRY-Z-2-all,D_mc_CRY-Z-3-all,D_mc_CRY-I-0-all,D_mc_CRY-I-1-all,D_mc_CRY-I-2-all,D_mc_CRY-I-3-all,D_mc_CRY-T-0-all,D_mc_CRY-T-1-all,D_mc_CRY-T-2-all,D_mc_CRY-T-3-all,D_mc_CRY-S-0-all,D_mc_CRY-S-1-all,D_mc_CRY-S-2-all,D_mc_CRY-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all
RSM3975,3.61,23.104,38.76,72.2,841.0,812.0,1392.0,1624.0,1,4.0,8.0,16.0,16.0,48.0,96.0,128.0,1.9044,4.14,8.5008,12.5856,0,-4.56,-5.2,-7.6,0,88.0,184.0,408.0,0,0,0,0,0,4.0,8.0,32.0,0,2.52,4.88,12.96,293.1514,664.122,1039.39,1280.489,1150.0,2760.0,3856.0,4184.0,48.0,104.0,164.0,210.0,268.0,672.0,980.0,1146.0,20.1296,50.3272,74.6948,87.4034,9.2416,15.504,28.88,21.128,49.0,84.0,98.0,56.0,1,2.0,4.0,3.0,4.0,12.0,16.0,10.0,0.5625,1.155,1.71,1.1325,54.76,167.24,233.84,150.22,0,0.98,2.66,2.17,0,2.0,14.0,13.0,0,0,0,0,0,-2.0,0.0,1.0,0,-0.04,0.72,0.74,0,-7.8,-2.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
RSM1828,1.21,27.5,26.6475,42.1575,3249.0,3306.0,3249.0,4617.0,1,7.5,9.5,13.0,56.5,128.0,214.5,218.5,2.8561,9.32035,12.36235,15.1255,0,-16.75,-13.775,-24.025,0,369.5,484.5,660.0,0,0,0,0,0,39.5,43.0,69.0,0,7.16,8.74,13.02,96.45486667,165.495,247.3212,245.8908,490.6666667,840.0,1204.0,1128.0,11.33333333,22.0,30.66666667,30.66666667,52.66666667,118.0,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.2,10.4176,23.25244444,24.65061333,60.33333333,56.8,118.8444444,125.9333333,1,1.244444444,2.488888889,2.488888889,1.733333333,5.2,7.422222222,5.711111111,0.540135556,0.707031111,1.315,1.300431111,34.60933333,86.13111111,128.8804444,108.3277778,0,0.912,1.117333333,0.674222222,0,2.0,3.466666667,2.488888889,0,0,0,0,0,-2.0,-1.755555556,-0.777777778,0,-0.04,0.052888889,0.072444444,0,-6.44,-5.731111111,-2.637777778,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16.0,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1.0,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,9.363333333,19.96333333,29.32666667,33.03666667,0,0.296666667,0.296666667,0.43,0,0.666666667,0.666666667,1.0,0,0,0,0,0,-0.666666667,-0.666666667,-1.0,0,-0.013333333,-0.013333333,-0.02,0,-2.0,-2.0,-2.7
RSM4185,3.1684,48.9856,18.156,18.156,2401.0,3136.0,1176.0,1176.0,1,8.0,4.0,4.0,64.0,128.0,96.0,96.0,2.0164,8.2928,4.3736,4.3736,0,-13.28,-3.08,-3.08,0,328.0,172.0,172.0,0,0,0,0,0,48.0,20.0,20.0,0,5.52,2.6,2.6,139.8876,269.484,418.5889,476.4518,749.0,1356.0,2044.0,2085.0,19.5,40.0,61.0,73.0,101.0,246.0,337.0,335.0,9.2653,20.7746,30.2905,32.1839,11.8336,8.772,20.6056,17.5956,64.0,48.0,112.0,136.0,1,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5329,0.5621,1.095,1.21545,28.09,59.89,87.98,141.245,0,0.89,0.89,1.765,0,2.0,2.0,-1.0,0,0,0,0,0,-2.0,-2.0,-3.5,0,-0.04,-0.04,-0.205,0,-6.0,-6.0,-16.05,3.3282,6.579,13.158,23.4264,128.0,96.0,192.0,272.0,0.5,1.0,2.0,3.0,2.0,6.0,12.0,6.0,0.5202,0.7854,1.5708,1.8666,188.18,219.22,438.44,292.94,0,0.03,0.06,-1.34,0,10.0,20.0,31.0,0,0,0,0,0,-1.0,-2.0,3.0,0,0.25,0.5,1.23,0,8.1,16.2,43.1
RSM1824,1.2544,28.0,27.132,42.924,3364.0,3364.0,3306.0,4698.0,1,7.5,9.5,13.0,56.5,128.0,214.5,218.5,2.6569,8.98945,11.92345,14.5885,0,-16.6,-13.585,-23.765,0,377.0,494.0,673.0,0,0,0,0,0,39.5,43.0,69.0,0,6.71,8.17,12.24,96.45486667,165.495,247.3212,245.8908,490.6666667,840.0,1204.0,1128.0,11.33333333,22.0,30.66666667,30.66666667,52.66666667,118.0,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.2,10.4176,23.25244444,24.65061333,60.33333333,56.8,118.8444444,125.9333333,1,1.244444444,2.488888889,2.488888889,1.733333333,5.2,7.422222222,5.711111111,0.540135556,0.707031111,1.315,1.300431111,34.60933333,86.13111111,128.8804444,108.3277778,0,0.912,1.117333333,0.674222222,0,2.0,3.466666667,2.488888889,0,0,0,0,0,-2.0,-1.755555556,-0.777777778,0,-0.04,0.052888889,0.072444444,0,-6.44,-5.731111111,-2.637777778,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16.0,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1.0,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,9.363333333,19.96333333,29.32666667,33.03666667,0,0.296666667,0.296666667,0.43,0,0.666666667,0.666666667,1.0,0,0,0,0,0,-0.666666667,-0.666666667,-1.0,0,-0.013333333,-0.013333333,-0.02,0,-2.0,-2.0,-2.7
RSM1841,1.44,30.0,29.07,45.99,3969.0,3654.0,3591.0,5103.0,1,7.5,9.5,13.0,56.5,128.0,214.5,218.5,2.8224,9.2652,12.2892,15.036,0,-16.0,-12.825,-22.725,0,414.5,541.5,738.0,0,0,0,0,0,39.5,43.0,69.0,0,7.085,8.645,12.89,96.45486667,165.495,247.3212,245.8908,490.6666667,840.0,1204.0,1128.0,11.33333333,22.0,30.66666667,30.66666667,52.66666667,118.0,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.2,10.4176,23.25244444,24.65061333,60.33333333,56.8,118.8444444,125.9333333,1,1.244444444,2.488888889,2.488888889,1.733333333,5.2,7.422222222,5.711111111,0.540135556,0.707031111,1.315,1.300431111,34.60933333,86.13111111,128.8804444,108.3277778,0,0.912,1.117333333,0.674222222,0,2.0,3.466666667,2.488888889,0,0,0,0,0,-2.0,-1.755555556,-0.777777778,0,-0.04,0.052888889,0.072444444,0,-6.44,-5.731111111,-2.637777778,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16.0,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1.0,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,9.363333333,19.96333333,29.32666667,33.03666667,0,0.296666667,0.296666667,0.43,0,0.666666667,0.666666667,1.0,0,0,0,0,0,-0.666666667,-0.666666667,-1.0,0,-0.013333333,-0.013333333,-0.02,0,-2.0,-2.0,-2.7
RSM1805,1.44,30.0,29.07,45.99,4096.0,3712.0,3648.0,5184.0,1,7.5,9.5,13.0,56.5,128.0,214.5,218.5,2.8561,9.32035,12.36235,15.1255,0,-16.0,-12.825,-22.725,0,422.0,551.0,751.0,0,0,0,0,0,39.5,43.0,69.0,0,7.16,8.74,13.02,96.45486667,165.495,247.3212,245.8908,490.6666667,840.0,1204.0,1128.0,11.33333333,22.0,30.66666667,30.66666667,52.66666667,118.0,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.2,10.4176,23.25244444,24.65061333,60.33333333,56.8,118.8444444,125.9333333,1,1.244444444,2.488888889,2.488888889,1.733333333,5.2,7.422222222,5.711111111,0.540135556,0.707031111,1.315,1.300431111,34.60933333,86.13111111,128.8804444,108.3277778,0,0.912,1.117333333,0.674222222,0,2.0,3.466666667,2.488888889,0,0,0,0,0,-2.0,-1.755555556,-0.777777778,0,-0.04,0.052888889,0.072444444,0,-6.44,-5.731111111,-2.637777778,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16.0,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1.0,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,9.363333333,19.96333333,29.32666667,33.03666667,0,0.296666667,0.296666667,0.43,0,0.666666667,0.666666667,1.0,0,0,0,0,0,-0.666666667,-0.666666667,-1.0,0,-0.013333333,-0.013333333,-0.02,0,-2.0,-2.0,-2.7
RSM3009,2.7225,22.704,22.77,50.25075,900.0,960.0,2745.0,2130.0,1,4.0,6.5,9.5,16.0,44.0,76.0,88.0,1.7161,3.8252,7.53905,9.21585,0,-7.16,-3.075,-14.78,0,88.0,103.5,214.0,0,0,0,0,0,5.0,7.0,16.0,0,2.32,2.76,5.41,118.7144,219.096,337.3204,385.387,548.0,1008.0,1456.0,1420.0,16.0,32.0,48.0,58.0,80.0,192.0,256.0,250.0,7.4224,16.2624,23.0448,24.6794,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,3.944533333,2.924,6.868533333,5.848,21.33333333,16.0,37.33333333,32.0,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1.0,1.333333333,2.0,0.177633333,0.187366667,0.365,0.374733333,9.363333333,19.96333333,29.32666667,39.92666667,0,0.296666667,0.296666667,0.593333333,0,0.666666667,0.666666667,1.333333333,0,0,0,0,0,-0.666666667,-0.666666667,-1.333333333,0,-0.013333333,-0.013333333,-0.026666667,0,-2.0,-2.0,-4.0
RSM2835,2.7225,26.268,28.875,50.5395,900.0,1950.0,1110.0,1530.0,1,5.0,7.0,12.0,25.0,60.0,105.0,130.0,1.7161,5.371,6.5369,9.3796,0,-7.67,-5.95,-10.83,0,85.0,173.0,309.0,0,0,0,0,0,13.0,14.0,34.0,0,2.45,4.18,8.56,202.4604,420.05,717.1552,924.3204,675.0,1454.0,1990.0,2046.0,33.0,66.0,116.0,154.0,182.0,458.0,630.0,682.0,11.6329,28.3982,42.5292,49.9762,10.5376,13.81,28.3528,33.0676,56.5,67.75,117.25,133.0,1,1.75,3.5,4.0,3.75,11.25,16.25,17.0,0.5477,0.927925,1.61625,1.8186,41.425,121.89,190.14,198.01,0,1.145,2.1075,2.395,0,3.5,9.75,11.5,0,0,0,0,0,-1.5,-0.25,-0.5,0,0.055,0.43,0.52,0,-6.175,-4.25,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
RSM1532,2.7225,30.096,55.341,81.972,900.0,1260.0,2340.0,2700.0,1,6.0,12.0,18.0,36.0,108.0,180.0,216.0,1.7161,5.895,11.9472,14.6982,0,-8.34,-13.74,-19.98,0,138.0,282.0,450.0,0,0,0,0,0,18.0,42.0,72.0,0,3.36,6.6,12.36,145.1653,319.6932,504.7522,486.378,580.0,1332.0,1714.0,1104.0,21.0,44.0,72.0,76.0,116.0,284.0,370.0,316.0,8.5597,20.61,29.3056,24.9612,9.2416,16.9936,25.1712,7.752,49.0,91.0,105.0,42.0,1,2.0,3.0,1.0,4.0,10.0,12.0,8.0,0.5625,1.14,1.4025,0.5775,54.76,138.38,142.82,83.62,0,0.49,0.84,0.49,0,1.0,6.0,1.0,0,0,0,0,0,-1.0,0.0,-2.0,0,-0.02,0.38,-0.02,0,-3.9,2.9,-3.9,9.2416,20.57066667,31.93013333,25.58666667,49.0,109.6666667,142.3333333,60.66666667,1.0,2.333333333,4.0,3.666666667,5.666666667,15.33333333,23.0,15.66666667,0.5625,1.3225,1.99,1.3175,54.76,147.0133333,245.68,172.42,0,0.326666667,1.656666667,2.73,0,0.666666667,7.666666667,17.0,0,0,0,0,0,-0.666666667,0.0,2.0,0,-0.013333333,0.346666667,0.993333333,0,-2.6,-3.6,3.833333333
RSM1341,3.61,31.92,29.07,63.574,841.0,1131.0,1044.0,2030.0,1,5.0,6.0,12.0,25.0,55.0,90.0,160.0,1.9044,5.0646,6.3756,11.4264,0,-7.3,-3.9,-10.66,0,106.0,138.0,278.0,0,0,0,0,0,14.0,12.0,28.0,0,3.23,3.66,8.28,124.1223333,239.581,393.9202667,471.375,475.3333333,920.0,1218.666667,1016.0,18.66666667,36.66666667,61.33333333,76.66666667,98.0,240.0,301.3333333,283.3333333,7.2392,16.60633333,23.69146667,24.65593333,10.9696,11.016,23.36373333,22.98133333,59.0,60.0,107.3333333,61.33333333,1,1.333333333,2.666666667,3.0,2.0,6.0,8.666666667,7.333333333,0.542766667,0.759733333,1.3,1.112366667,36.98,95.67333333,136.6,121.8,0,0.92,1.48,2.97,0,2.0,6.0,15.0,0,0,0,0,0,-2.0,-2.0,-1.666666667,0,-0.04,0.213333333,0.7,0,-6.6,-4.666666667,-2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
