type,CellV [A^3],Di,Df,Dif,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric
RSM3975,20019.0,9.47418,7.83744,9.45292,0.597233,2163.58,3622.673228,0.64186,1.07472
RSM1828,2633.04,4.82084,4.14331,4.80387,1.76082,641.266,364.1860042,0.24024,0.136436
RSM4185,15518.0,18.8079,13.71867,18.7996,0.674371,1604.688134,2379.533126,0.6455,0.957188
RSM1824,2602.59,4.80529,4.06893,4.80529,1.7876,600.107,335.7054151,0.23884,0.133609
RSM1841,2493.02,4.70447,3.94356,4.68752,1.9293,498.734,258.5051573,0.21898,0.113502
RSM1805,2477.63,4.69665,3.92184,4.69665,1.96962,464.617,235.8916948,0.21376,0.108528
RSM3009,4518.16,5.07969,4.03039,4.98773,1.15833,1037.94,896.065888,0.39614,0.341993
RSM2835,3258.86,8.50423,8.27985,8.50423,1.12072,1083.29,966.6018274,0.36738,0.327807
RSM1532,5518.65,4.94767,3.4178,4.77873,1.0939,325.022,297.1222232,0.2295,0.209799
RSM1341,2916.84,6.18649,5.74044,6.18649,1.30148,844.024,648.510926,0.26842,0.206243
RSM3170,3191.38,6.86398,6.10482,6.86398,1.21871,970.915,796.6743524,0.30202,0.247819
RSM1972,2226.95,4.47083,3.0099,4.47083,1.59028,247.133,155.4021933,0.16342,0.102762
RSM1960,2087.56,3.96462,2.41854,3.93898,1.78668,26.1134,14.61559988,0.03656,0.0204625
RSM2130,3779.19,8.25776,7.03071,8.25776,1.10094,1769.18,1606.972224,0.54002,0.490508
RSM2366,2660.54,5.20085,3.89327,4.84433,1.15458,942.065,815.9373971,0.34602,0.299694
RSM4301,5939.98,4.00255,2.78217,3.89811,1.45481,10.4834,7.206026904,0.01062,0.00729991
RSM1069,1527.86,4.91034,3.57647,4.78103,1.04949,502.151,478.471448,0.28922,0.275582
RSM2798,6787.7,7.92311,7.02117,7.40406,1.04215,1323.15,1269.634889,0.40304,0.386739
RSM3200,3292.77,4.50507,4.05314,4.50325,1.57483,307.16,195.0432745,0.1489,0.0945497
RSM1590,2426.68,4.92906,3.897,4.88525,1.27844,1193.32,933.4188542,0.39564,0.309471
RSM1379,2443.48,5.98483,4.5721,5.97294,0.945356,1728.94,1828.877164,0.5109,0.540431
RSM3905,5012.01,4.9133,2.71797,4.44189,1.45487,143.723,98.78752053,0.10396,0.0714564
RSM0842,1205.13,4.49265,3.05894,4.49265,1.41453,443.942,313.8441744,0.17884,0.126431
RSM0559,1983.9,8.23302,6.49522,8.23302,0.862534,2235.99,2592.349983,0.62334,0.722685
RSM4016,6560.88,4.74821,3.43684,4.74019,0.96574,612.367,634.0909562,0.23806,0.246505
RSM0129,966.699,6.2294,5.27198,6.22457,1.14554,1472.64,1285.54219,0.4581,0.399899
RSM3818,4460.37,5.86134,3.79303,5.86134,0.999234,635.156,635.6429025,0.2319,0.232078
RSM2073,2366.52,5.22329,3.73672,5.11659,0.962226,676.711,703.2765691,0.31422,0.326555
RSM1389,1837.7,4.48976,3.77657,4.48976,1.63203,312.3153,191.3661514,0.20734,0.1270449
RSM2182,4834.13,4.31246,3.2182,4.31088,1.02037,120.463,118.0581554,0.1292,0.126621
RSM2376,9443.84,13.89765,5.51402,13.88466,0.824207,1732.68,2102.238879,0.61096,0.74127
RSM1207,1398.77,4.69106,3.19319,4.60847,1.20474,210.425,174.6642429,0.13926,0.115594
RSM0505,3565.3,6.88318,5.09054,6.88318,1.58969,916.145,576.3041851,0.2955,0.185886
RSM1295,1342.38,4.99322,2.70306,4.97739,2.08868,108.182,51.79443476,0.0742,0.0355248
RSM1573,5303.54,12.97631,9.4474,12.86758,0.420776,1985.71,4719.161739,0.79196,1.88214
RSM0602,1514.66,6.80122,6.3958,6.80122,1.29813,1348.95,1039.148621,0.46724,0.359932
RSM4087,5677.84,5.51252,3.28798,5.50625,1.46937,483.812,329.2649231,0.19298,0.131335
RSM2765,3351.68,6.10079,4.1274,6.09895,1.15948,1420.64,1225.2389,0.41636,0.359093
RSM4255,10628.3,9.51377,6.43314,9.51377,0.798695,1863.12,2332.705225,0.51694,0.647231
RSM4368,9794.49,6.90146,4.37137,6.90002,0.999683,1229.85,1230.239986,0.36692,0.367036
RSM0292,793.4,4.34391,3.48794,4.33353,1.48639,142.108,95.60613298,0.15102,0.101602
RSM0968,1536.77,4.48882,3.73021,4.48882,1.13994,676.714,593.6400161,0.31334,0.274874
RSM0437,1127.37,4.37224,3.52862,4.37224,1.32069,467.747,354.1686543,0.25586,0.193732
RSM0504,1839.71,6.87554,6.2746,6.85501,1.0117,2059.47,2035.652862,0.61872,0.611562
RSM2603,2989.26,5.23239,4.07998,5.23239,2.19565,523.181,238.2806914,0.18314,0.0834105
RSM0768,2882.18,15.8468,15.75155,15.8468,0.656923,1340.34,2040.33045,0.71636,1.09048
RSM2880,2555.46,5.04128,2.68626,4.76081,1.55778,103.09,66.17750902,0.0702,0.0450642
RSM1275,1663.64,6.336,6.00289,6.33424,2.30777,456.09,197.6323464,0.16406,0.0710902
RSM1768,4209.05,4.28524,2.88788,4.27979,1.87804,97.1036,51.70475602,0.07344,0.0391045
RSM0941,2405.55,6.60597,5.16055,6.59079,1.12408,2147.42,1910.380044,0.57556,0.512028
RSM0969,2368.14,6.35365,5.03774,6.35365,1.16137,2102.58,1810.430784,0.57128,0.491904
RSM3983,21539.8,10.00436,3.46125,8.0956,1.00404,1192.15,1187.353094,0.369,0.367516
RSM2289,2549.82,5.88047,3.45324,5.87906,1.10464,516.46,467.5369351,0.22078,0.199866
RSM2976,2825.97,4.10763,3.18777,4.0924,1.57643,27.0468,17.15699397,0.03526,0.022367
RSM1218,1362.25,3.81435,2.92703,3.81435,1.63514,2.40835,1.472870825,0.0,0.0
RSM3162,3506.23,4.23505,3.57437,4.22469,1.56146,296.212,189.7019456,0.18238,0.116801
RSM2333,4906.31,5.9515,3.58022,5.94467,1.69538,556.495,328.242046,0.2162,0.127523
RSM2838,19695.2,15.74073,14.87864,15.74073,0.734143,1742.68,2373.76097,0.63224,0.861194
RSM0671,1358.8,5.07744,3.63748,5.07744,1.35621,796.817,587.5321668,0.30898,0.227826
RSM0877,1454.29,4.05171,2.54227,4.0376,1.22912,329.612,268.1690966,0.21026,0.171066
RSM0113,743.609,4.41179,2.90753,4.38337,1.58511,367.958,232.1340475,0.25454,0.160582
RSM2900,4955.16,6.56163,5.01898,6.56163,0.789798,2355.18,2982.002993,0.61092,0.773514
RSM0733,3539.12,4.54071,3.29336,4.528,0.966027,1112.0,1151.106543,0.43128,0.446447
RSM3692,7938.21,8.93591,6.40725,8.93528,0.861374,1601.1742,1858.860611,0.50202,0.5828135
RSM1968,2690.71,6.54798,4.58648,6.32355,0.991599,1620.39,1634.118227,0.4615,0.46541
RSM1284,2328.49,8.70009,4.17817,8.70009,1.56011,1340.502,859.2355667,0.46984,0.3011595
RSM0486,1795.71,5.19371,4.3754,5.19371,2.94656,1503.03,510.0965193,0.44152,0.149842
RSM1226,2605.83,5.52619,4.96961,5.37117,1.18279,1674.1,1415.382274,0.49596,0.419312
RSM1244,2646.25,5.62028,4.9456,5.38973,1.141,1670.13,1463.742331,0.50026,0.43844
RSM1254,2586.16,5.507,4.94994,5.35679,1.19591,1645.92,1376.290858,0.49452,0.41351
RSM4568,29140.4,9.80506,5.54909,9.77983,0.780304,2541.89,3257.563719,0.64266,0.823602
RSM4577,29007.6,8.95718,5.39384,8.83819,0.804507,2496.9,3103.639869,0.62534,0.777296
RSM3920,17714.8,9.00309,8.54299,8.9671,0.97843,1596.621,1631.819343,0.51308,0.524392
RSM3410,22275.3,14.27976,9.75466,14.27887,0.875377,1722.39,1967.597961,0.56704,0.647766
RSM2910,3007.73,5.20373,4.91346,5.20373,1.50927,373.072,247.1870507,0.17504,0.1159762
RSM1521,7703.79,8.9304,4.11514,8.89727,1.11173,1949.66,1753.71718,0.59156,0.53211
RSM2108,2552.1,8.4847,6.59254,8.4847,1.73964,900.843,517.8329999,0.307,0.176473
RSM4068,16857.7,9.06904,5.14285,8.98911,0.88724,1617.2,1822.731166,0.45014,0.507349
RSM2674,3594.83,8.87027,8.43287,8.87027,1.05825,1273.53,1203.430191,0.44076,0.4165
RSM2272,11726.7,6.54196,4.56831,6.52391,0.938074,1339.94,1428.394775,0.40426,0.430947
RSM1519,1753.09,4.72415,2.94621,4.67451,1.37776,279.86,203.1268145,0.11954,0.0867638
RSM2627,4205.9,9.77148,3.95127,9.76981,1.08328,1371.846,1266.38173,0.50074,0.4622423
RSM2445,3367.49,4.89405,3.15092,4.20437,1.04092,807.004,775.2795604,0.29442,0.282846
RSM4045,21557.9,13.04357,6.77607,13.04357,0.899644,1962.76,2181.707431,0.58366,0.648768
RSM0240,653.182,4.03994,2.92862,4.03247,1.66595,35.1526,21.10063327,0.1092,0.0655481
RSM3001,4910.54,6.01546,4.14091,6.00986,0.986437,1896.4,1922.474522,0.52286,0.530049
RSM3835,4309.07,6.25403,6.06717,6.25403,1.40557,308.333,219.3650974,0.1032,0.0734221
RSM2612,2305.09,3.80536,2.41604,3.77177,1.35746,1.69963,1.252066359,0.0,0.0
RSM3890,10586.2,8.43697,7.72021,8.43697,1.03874,972.784,936.5038412,0.31526,0.303503
RSM2930,6837.11,5.69693,3.84932,5.68674,1.19116,945.801,794.0167568,0.31422,0.263794
RSM1588,1747.81,5.22962,4.08985,5.19903,2.0701,520.014,251.2023574,0.16734,0.0808368
RSM4293,42398.4,18.21481,15.58526,18.20354,0.462868,1490.97,3221.155924,0.74916,1.61852
RSM1397,1473.53,5.12409,3.76819,5.12409,1.55224,304.279,196.0257434,0.15702,0.101157
RSM3087,2465.79,4.51369,2.59156,4.48614,1.60849,88.6155,55.0923537,0.05784,0.0359592
RSM0378,1122.26,5.6946,5.49039,5.6894,1.21439,1106.09,910.8194237,0.38184,0.314431
RSM0946,2092.18,5.92381,4.85823,5.92381,0.977102,1664.48,1703.486432,0.48252,0.493827
RSM2565,2777.24,4.98967,3.63243,4.9802,1.21306,519.714,428.4322292,0.2889,0.238159
RSM1060,3393.55,11.08232,7.03865,11.08232,0.706119,2202.11,3118.610319,0.71636,1.0145
RSM3360,8446.98,11.60551,5.69321,11.60029,0.756483,2313.7,3058.495697,0.68242,0.902096
RSM0036,1046.24,3.96931,2.79019,3.93414,2.17482,49.269,22.65428863,0.11698,0.0537883
RSM1200,1831.29,4.19377,3.55017,4.10153,1.43831,192.719,133.9898909,0.16192,0.112576
RSM1198,1836.99,5.1885,3.70567,5.1885,1.78935,512.284,286.2961411,0.23256,0.129969
RSM0523,888.958,4.05397,3.78362,4.05397,2.49857,145.102,58.07401834,0.14896,0.0596181
RSM2023,1702.2,4.08176,3.30481,3.94024,1.47581,30.7369,20.82713899,0.074,0.0501421
RSM3824,4801.63,4.97412,3.92327,4.96359,1.11198,494.598,444.7903739,0.23306,0.2095908
RSM4023,5061.68,4.37358,2.8186,4.37358,1.34455,145.771,108.4161987,0.1088,0.0809192
RSM4139,6129.27,6.20454,3.65645,6.19551,1.18024,714.7,605.5548024,0.22866,0.19374
RSM2467,2760.55,5.62194,5.11595,5.6016,1.12689,893.548,792.9327618,0.29424,0.261108
RSM1113,1579.65,5.27207,3.57986,5.2523,1.48689,592.151,398.248021,0.27928,0.187829
RSM0430,2465.02,6.38285,4.89652,6.37584,1.09177,1198.39,1097.657932,0.37346,0.342068
RSM1967,2151.71,4.63469,3.96609,4.63178,0.913347,1447.75,1585.104019,0.405,0.443424
RSM2102,2198.92,4.09177,3.26763,4.07647,1.48331,75.9803,51.22347992,0.12676,0.0854575
RSM0985,1426.31,4.72338,2.79989,4.49578,1.24139,423.123,340.8461483,0.22516,0.181378
RSM0869,1286.94,4.06064,2.7409,4.02482,1.33962,109.057,81.408907,0.15344,0.11454
RSM1800,2728.43,6.53351,5.26079,6.50691,1.20658,1135.39,940.9985248,0.38404,0.318289
RSM0252,1015.03,4.30909,3.88512,4.30289,2.07432,364.554,175.7462687,0.2936,0.14154
RSM3381,4315.92,5.1988,3.52628,5.1988,1.34479,707.042,525.7638739,0.29348,0.218235
RSM1065,1527.67,4.32056,3.04859,4.3059,1.22885,160.321,130.4642552,0.1624,0.132156
RSM2645,2656.16,4.97615,3.02702,4.85033,1.17931,316.274,268.185634,0.18438,0.156346
RSM2350,2761.47,10.39364,10.27787,10.39364,0.990795,1189.23,1200.278564,0.44578,0.449922
RSM1702,2560.0,4.83597,4.0538,4.82906,1.04226,979.267,939.561146,0.42492,0.407691
RSM3444,7211.15,12.14192,7.10734,11.60914,0.697914,2231.47,3197.342366,0.6377,0.913723
RSM2572,6410.62,6.2269,3.75929,6.22514,1.41993,300.135,211.3730959,0.12034,0.0847509
RSM4551,12878.0,5.07008,3.27077,4.57111,1.13676,343.189,301.9010169,0.14226,0.125146
RSM1795,1777.76,5.083,4.08701,5.083,1.12522,356.306,316.6545209,0.1426,0.126731
RSM1531,1815.34,4.0118,2.90391,3.99777,2.14473,37.7686,17.60995557,0.04012,0.0187063
RSM1728,2811.87,6.26762,4.30044,6.26762,1.44826,1157.95,799.5456617,0.33836,0.233632
RSM1731,2790.76,6.23242,4.28797,6.23242,1.46353,1136.04,776.232807,0.33424,0.22838
RSM3063,3459.15,4.30313,2.87689,4.24716,1.27743,229.774,179.8720869,0.17062,0.133565
RSM0863,1431.17,3.82331,2.6999,3.8166,1.18001,3.28204,2.78136626,0.0,0.0
RSM0864,1522.89,3.96338,2.94053,3.95389,1.3163,89.6331,68.09473524,0.13634,0.103578
RSM2142,2233.5,4.02824,2.46103,4.02824,1.34717,37.133,27.56370762,0.03638,0.0270048
RSM1836,2497.36,7.09051,6.95471,7.08404,1.0379,1021.84,984.5264476,0.33988,0.327468
RSM1540,2440.35,5.83028,3.92148,5.83028,1.25472,1305.48,1040.455241,0.43496,0.346659
RSM1509,2386.98,5.86454,4.0944,5.8642,1.28277,1284.55,1001.387622,0.42754,0.333293
RSM1888,1928.28,4.11167,2.92426,4.09819,1.66152,67.6451,40.71278107,0.07154,0.0430569
RSM1914,1874.59,3.94132,2.74553,3.92764,1.76982,13.349,7.542574951,0.03024,0.0170865
RSM3526,16254.3,6.38674,3.78902,6.37563,1.36238,632.32,464.1289508,0.20962,0.153864
RSM1070,1973.29,9.17407,6.81795,9.17407,1.04186,1306.49111,1253.998723,0.42352,0.406505
RSM1358,2202.94,5.23992,4.30833,5.23699,1.25499,930.565,741.4919641,0.38148,0.3039699
RSM4468,44361.9,25.17564,12.49369,25.17564,0.244994,1446.93,5905.981371,0.86984,3.55046
RSM2895,3567.43,5.36267,3.61603,5.3498,1.32796,600.353,452.0866592,0.30062,0.226377
RSM3078,2970.17,4.51878,3.91315,4.51878,1.20992,275.16,227.4199947,0.12946,0.106998
RSM2298,4535.3,7.54994,6.22752,7.22874,0.801255,2093.57,2612.86357,0.64444,0.804289
RSM2055,2329.23,4.33245,2.46317,3.59191,2.03317,76.0594,37.4092673,0.08398,0.0413049
RSM2381,4008.76,5.87218,4.28231,5.84929,0.954537,2007.17,2102.768148,0.55422,0.580617
