type,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons
RSM0001,0.23076923076923078,0,0,0,0,0.23076923076923078,0,0.46153846153846156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.484793846153845,11.076923076923077,2.076923076923077,63.0,10.23076923076923,1.55,0.6346153846153846,2.24,2.7761538461538464,1.7692307692307692,2.3076923076923075,0.07692307692307693,0.5384615384615384,0.3770491803278688,0.4918032786885245,0.01639344262295082,0.11475409836065573
RSM0002,0.23076923076923078,0,0,0,0,0.23076923076923078,0,0.46153846153846156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.954793846153848,11.076923076923077,2.076923076923077,61.0,10.076923076923077,1.6,0.6384615384615384,2.27,2.773846153846154,1.7692307692307692,2.3076923076923075,0.0,0.46153846153846156,0.3898305084745763,0.5084745762711864,0.0,0.1016949152542373
RSM0003,0.23076923076923078,0,0,0,0,0.23076923076923078,0,0.46153846153846156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.613666923076924,11.076923076923077,2.076923076923077,64.0,10.307692307692308,1.5,0.6307692307692307,2.23,2.776923076923077,1.7692307692307692,2.3076923076923075,0.0,0.6923076923076923,0.3709677419354839,0.48387096774193544,0.0,0.14516129032258066
RSM0004,0.23076923076923078,0,0,0,0,0.23076923076923078,0,0.46153846153846156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.078178461538464,11.076923076923077,2.076923076923077,62.0,10.153846153846153,1.6,0.6384615384615384,2.255,2.7750000000000004,1.7692307692307692,2.3076923076923075,0.0,0.5384615384615384,0.38333333333333336,0.5,0.0,0.11666666666666667
RSM0008,0.09090909090909091,0,0,0,0,0.45454545454545453,0,0.36363636363636365,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57854909090909,12.454545454545455,2.0,11.0,6.818181818181818,1.25,0.6954545454545454,2.13,2.7290909090909095,1.9090909090909092,2.3636363636363638,0.0,0.0,0.4468085106382979,0.5531914893617021,0.0,0.0
RSM0009,0.09090909090909091,0,0,0,0,0.45454545454545453,0,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72656681818182,13.090909090909092,2.090909090909091,26.0,8.181818181818182,1.1,0.6818181818181818,1.56,2.7809090909090908,1.9090909090909092,2.3636363636363638,0.6363636363636364,0.0,0.3888888888888889,0.4814814814814815,0.12962962962962962,0.0
RSM0010,0.09090909090909091,0,0,0,0,0.45454545454545453,0,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.312640000000002,13.363636363636363,2.090909090909091,29.0,8.454545454545455,1.1,0.6818181818181818,1.79,2.76,1.9090909090909092,2.3636363636363638,0.9090909090909091,0.0,0.368421052631579,0.456140350877193,0.17543859649122806,0.0
RSM0011,0.09090909090909091,0,0,0,0,0.45454545454545453,0,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.704767272727274,13.181818181818182,2.090909090909091,27.0,8.272727272727273,1.1,0.6818181818181818,1.53,2.7836363636363632,1.9090909090909092,2.3636363636363638,0.7272727272727273,0.0,0.38181818181818183,0.4727272727272728,0.14545454545454545,0.0
RSM0012,0.18181818181818182,0,0,0,0,0.36363636363636365,0,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.726315909090909,11.909090909090908,2.0,26.0,7.7272727272727275,1.1,0.640909090909091,1.56,2.7490909090909095,1.8181818181818181,2.1818181818181817,0.6363636363636364,0.0,0.392156862745098,0.4705882352941176,0.1372549019607843,0.0
RSM0015,0.23076923076923078,0,0,0,0,0.23076923076923078,0,0.46153846153846156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.921962692307691,11.538461538461538,1.9230769230769231,26.0,7.384615384615385,1.1,0.5999999999999999,1.56,2.8284615384615384,1.7692307692307692,2.3076923076923075,0.5384615384615384,0.0,0.38333333333333336,0.5,0.11666666666666667,0.0
RSM0016,0.6153846153846154,0,0,0,0,0.15384615384615385,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.920501538461538,5.923076923076923,1.6153846153846154,46.0,6.230769230769231,1.35,0.4846153846153846,1.11,2.3623076923076924,1.3076923076923077,0.7692307692307693,0.7692307692307693,0.0,0.45945945945945943,0.2702702702702703,0.2702702702702703,0.0
RSM0018,0.23076923076923078,0,0,0,0,0.23076923076923078,0,0.46153846153846156,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.258255384615383,11.0,1.8461538461538463,11.0,6.230769230769231,1.25,0.6115384615384615,2.13,2.784615384615385,1.7692307692307692,2.3076923076923075,0.0,0.0,0.4339622641509434,0.5660377358490566,0.0,0.0
RSM0019,0.26666666666666666,0,0,0,0,0.4,0,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.252464,10.8,1.8666666666666667,27.0,6.666666666666667,1.1,0.5966666666666666,1.53,2.651333333333333,1.7333333333333334,1.8666666666666667,0.5333333333333333,0.0,0.4193548387096774,0.45161290322580644,0.12903225806451613,0.0
RSM0020,0.26666666666666666,0,0,0,0,0.4,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.044583999999999,10.6,1.8666666666666667,28.0,6.466666666666667,1.1,0.6099999999999999,1.1400000000000001,2.5439999999999996,1.6666666666666667,1.6,0.6666666666666666,0.0,0.42372881355932207,0.4067796610169492,0.1694915254237288,0.0
RSM0021,0.26666666666666666,0,0,0,0,0.4,0,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.268450333333334,10.733333333333333,1.8666666666666667,26.0,6.6,1.1,0.5966666666666666,1.56,2.649333333333333,1.7333333333333334,1.8666666666666667,0.4666666666666667,0.0,0.42622950819672134,0.45901639344262296,0.11475409836065574,0.0
RSM0022,0.1875,0,0,0,0,0.375,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.190526249999998,11.625,2.0625,62.0,9.375,1.6,0.6499999999999999,2.255,2.7328125,1.8125,2.25,0.0,0.4375,0.4027777777777778,0.5,0.0,0.09722222222222222
RSM0023,0.25,0,0,0,0,0.25,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.450422500000002,10.75,2.0,28.0,8.0,1.1,0.65,1.1400000000000001,2.5650000000000004,1.625,1.625,1.25,0.0,0.3611111111111111,0.3611111111111111,0.2777777777777778,0.0
RSM0024,0.23529411764705882,0,0,0,0,0.23529411764705882,0,0.47058823529411764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.884503529411766,11.235294117647058,2.0,70.0,9.588235294117647,1.5,0.6088235294117647,2.17,2.811176470588235,1.7647058823529411,2.3529411764705883,0.058823529411764705,0.8235294117647058,0.3529411764705882,0.47058823529411764,0.011764705882352941,0.16470588235294117
RSM0025,0.47058823529411764,0,0,0,0,0.29411764705882354,0.17647058823529413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.511136470588236,7.882352941176471,1.6764705882352942,47.0,5.705882352941177,1.3,0.5235294117647059,1.35,2.42764705882353,1.5294117647058822,1.1176470588235294,0.5294117647058824,0.0,0.48148148148148145,0.35185185185185186,0.16666666666666669,0.0
