cif,CO2_kh,CO2_kh_dev
GUJVOX_clean,0.00904676,0.00330849
ILOTOT_clean,0.000364175,1.89562e-05
EFESOZ_clean,0.00113667,0.000244735
HAVYOU_clean,9.83221e-05,8.02636e-06
LIBQIY_clean,0.00147778,0.00064394
KESGAS_clean,0.000118431,2.98137e-06
UTACUP_clean,0.000245694,1.45957e-05
HEXNUU_clean,0.0156044,0.0036724
PEDMOB_clean,0.000174979,2.14804e-05
UNOJUD_clean,0.000493244,2.98095e-05
JURKIS_clean,0.00132436,0.000422848
IZENUY_clean,4.83962e-05,1.60583e-06
WEMFOL_clean,0.0047212,0.00151195
GAWLIB_clean,0.428359,0.108149
VOTKEW_clean,0.00348544,0.000565086
QOHYET_clean,0.00211408,0.000850392
MARXEK_clean,6.56191e-05,1.76277e-06
FUHNIH_clean,0.000605735,4.88829e-05
NIHVUX_clean,0.50327,0.974862
LORMOW_clean,0.000172931,3.34901e-06
DUQSAK_clean,0.000395353,3.51054e-05
FUYCIN_clean,1.2383e-05,1.24317e-07
XUMMUP_clean,1.62685e-05,1.56853e-07
OSOTUN_clean,0.0027593,0.000649623
MANLOD_manual,4.28237e-05,1.14228e-06
YUGLES_clean,3.40557e-05,1.08658e-06
ZIMTAS_clean,2.42778e-05,5.54731e-07
IFEQIV_SL,1.89541e-05,2.07283e-07
MOFLAV_clean,5.24997e-05,3.90891e-06
PEVQOY_clean_h,2.03216e-05,1.15142e-06
XIPBOO_clean,0.000372257,2.4234e-05
PIBPIA_clean,1.12902e-05,1.46193e-06
GOYPER_clean,2.77141e-06,3.95724e-07
ODONIF_clean,0.000104936,1.72378e-05
POLNAG_clean,0.00129443,0.000251535
FUWFUA_clean,0.000130619,2.40338e-05
ICAWUF_clean,0.00140994,0.000534004
XUKNIC_clean,0.000708844,0.000292691
OVADAR_clean,0.061343,0.0260722
DEJRUH_clean,0.00344201,0.000635285
PELGOE_clean,0.000836182,0.000127627
VUMBOW_clean,6.57845e-05,8.786e-07
WOHSOB_clean,4.00101e-05,1.03528e-06
XEWFAI_clean,0.00398164,0.00177354
JEBCOJ_clean,4.60954e-05,9.80215e-07
IJODES_clean,0.000396451,1.25657e-05
KAKCEH01_clean,0.00750413,0.00231918
JUFZER_clean,0.00497277,0.000611258
MAGBON_clean,6.63607e-05,2.63813e-07
VIQQUJ_clean,0.00182853,0.000155384
YOVPEG_clean,0.000262492,5.72194e-06
ORULEU_clean,0.00286988,0.000663445
IYUQID_clean,1.64109e-05,1.13671e-06
UYOJOI_clean,0.00634848,0.00397151
XUDNAN_clean,0.00105794,0.000367509
KEWJIG_clean,0.000584214,2.17378e-05
KEQDER_clean,6.22151e-05,4.56262e-06
VOCQEJ_clean,0.000457091,5.22745e-06
XUVQOW_clean,0.00149579,0.00089276
EKEVAT_clean,0.000313726,9.02241e-06
YAQZUN_clean,9.98364e-06,1.8079e-07
XOVPON_clean,0.51378,0.313731
ECOSIY_clean,0.00884965,0.000666499
QEFNAQ_clean,7.1975e-05,2.89167e-06
EBIHII_clean,0.000192475,0.000109853
WIYWUY_clean,0.00250921,0.00138996
RAPBOZ_clean,0.0732304,0.0295585
MOFBIU_clean,0.00134802,0.000359394
XADDIR_manual,8.99955e-05,2.52309e-06
MAHCOQ_clean,2.73116e-05,5.42028e-06
POWBIO_clean,0.036786,0.00603675
HIYGIH_clean,5.0229e-05,1.57632e-06
XAPGUQ_clean,6.18252e-05,8.06124e-07
YEGTEK_clean,0.00102413,0.000305003
NUZCIV_clean,7.47166e-05,1.31426e-06
MUBQIJ_clean,0.00050022,8.93307e-06
HELDOT_clean,9.91615e-05,3.19366e-06
LUCDIW_clean,0.410625,0.327793
KEFFEI_clean,3.79467e-06,7.00784e-07
OKIKOJ_clean,4.32184e-05,1.21512e-06
ZEGSUB_clean,0.000118698,9.42461e-06
WISTID_clean,0.00142505,0.000185324
VAXTEV_clean,0.000633269,0.000103988
IXEJOL_clean,0.0016224,0.000214814
YOPPAW_clean,0.000169519,1.78297e-05
YUCGOS_clean,0.0026479,0.00128336
UQOGAK_clean,0.00405588,0.00180295
FORWAL_clean,8.47111e-05,8.40232e-07
KASPOL_clean,0.000132199,1.93822e-05
WIHTIS_clean,8.02899e-06,6.35435e-07
KUFVIS_clean,0.00193192,0.000696378
NIMWUD_clean,0.000431944,1.96864e-05
HIQWOV_clean,5.93918e-05,5.26351e-07
WEZCIO_clean,1.44335e-05,1.60651e-06
ZOMNUM_clean,0.01892,0.00881071
FAGYEU_clean,0.00127781,8.33561e-05
QITZIE_clean,0.000674151,0.000142708
UXIQOJ_clean,5.85945e-05,8.3391e-07
WEHJOK_clean,0.000268913,5.55535e-05
NOHSUA_clean,0.000378098,0.000104106
HISGIB_clean,7.77765e-05,2.07391e-06
KIVFEB_clean,4.82855e-06,3.25936e-08
QIPROY_clean,0.000193937,3.49552e-06
ILOSOS_clean,3.38432e-05,4.90329e-07
VICSIL_clean,0.000149523,4.28334e-06
ZISNEW_clean,0.000306382,8.63769e-06
FANQER_clean,0.000646887,0.000265341
WORREC_clean,4.0459e-05,2.57376e-07
YIVNIC_clean,0.677076,0.416027
GAJVAQ_clean,0.015932,0.00423487
KUJNEJ_clean,3.44745e-05,3.17825e-07
VECZEK_clean,2.52429e-05,1.41204e-06
NEDXOL_clean,0.000284429,3.87096e-06
LIGHAM_clean,0.0055465,0.00186852
NOFQOQ_clean,8.92585e-05,3.59821e-06
OQESEJ_clean,0.000262099,6.69687e-06
MUNPER_clean,0.000100547,1.36162e-06
QOKCID_clean,0.000472714,1.44478e-05
LODPUQ_clean,0.00031596,3.08604e-06
KAVTUY_clean,0.000179247,6.03139e-06
OJIDAN_clean,0.386513,0.217068
JUJZIZ_clean,0.000422791,0.000162665
KACZIZ_clean,0.000113649,1.91876e-06
NEJSOM_clean,0.00023798,4.47982e-06
XUDYOM_clean,0.00102347,2.03258e-05
PUJQEQ_clean,7.43947e-05,2.08137e-06
JAQSAW_clean,6.97163e-05,1.36562e-06
ISUCUV_clean,0.00294251,0.00143167
YOZQEK_clean,2.26003e-05,4.15615e-06
EVADIQ_clean,0.000311267,0.000155299
OPENON_clean,0.000483006,1.45313e-05
PUTYEI_clean,7.18788e-05,4.21554e-07
