cif,N2_kh,N2_kh_dev
ODOXEK_clean,7.07273e-06,1.56913e-07
FUHNIH_clean,5.88647e-06,6.02479e-08
LEWVAL_clean,5.07271e-06,3.65618e-08
UYAMOY_clean,8.87374e-06,8.73584e-08
GAHWIX_clean,4.3913e-06,6.11933e-08
DALTAO_clean,6.15187e-06,2.67276e-07
YEGKOM_clean,4.69836e-06,6.22842e-08
UXUYUI_clean,1.57733e-06,7.51711e-08
WORREC_clean,4.47027e-06,1.82417e-08
XISXEE_clean,4.42699e-06,9.12728e-09
QUHMOX_clean,1.05184e-06,7.18386e-08
OHIHUJ_clean,8.46498e-06,2.2743e-07
ZEXSOM_clean,5.4489e-06,5.33066e-08
VURYOX_clean,1.65574e-06,1.83579e-08
ICIZOL_clean,1.30518e-05,4.89239e-07
PAPXUB_clean,8.05193e-06,2.68183e-07
UTUMAY_clean,2.27742e-06,8.43477e-09
QOFDOG_clean,4.80194e-06,4.86199e-08
UNIPEN_clean,9.88055e-06,8.74194e-08
PARKUQ01_clean,3.82723e-06,8.75985e-09
FIPXEJ_clean,4.97717e-06,1.01245e-07
GEVXIQ_clean,2.73084e-06,1.02856e-07
MIFQOJ_clean,8.28745e-06,1.78109e-07
PUWXAH_clean,1.55335e-06,5.95507e-09
VIXZUZ_clean,1.0706e-05,6.63236e-07
XEXMEU_clean,3.06295e-06,8.32681e-09
VOYXUE_clean,4.67568e-06,1.57661e-07
YIPDOR_clean,3.86649e-06,3.07539e-08
FOFMOE_clean,2.25206e-06,8.56061e-08
OWIZAW_clean,3.86335e-06,4.62548e-08
HIYGIH_clean,4.32477e-06,4.49348e-08
LOXKAM_clean,7.08371e-06,5.61566e-08
HISGIB_clean,4.18123e-06,5.73377e-08
DUQSAK_clean,8.40482e-06,1.07157e-07
ZUBFIN_clean,7.17726e-06,1.36763e-07
KASPOL_clean,5.59605e-06,5.68018e-07
ZEDLOL_clean,5.12487e-06,7.57856e-08
DUKDOD01_clean,8.52476e-07,2.40771e-08
XORHET_clean,4.21027e-06,7.37081e-08
EXOTUH_SL,6.65247e-06,2.31565e-08
ZIMTAS_clean,3.7934e-06,8.17681e-09
PAZXUJ_clean,3.02256e-06,3.71754e-07
KOJTOU_clean,5.36947e-06,2.94093e-08
QOMTET_clean,1.04551e-05,1.54769e-07
WOHZAU01_clean_h,1.21119e-05,1.19308e-06
ERUNUC_clean,5.10641e-06,6.97666e-08
DOGZIJ_clean,6.65725e-06,5.53539e-08
VUHGAH_clean,9.43299e-06,2.99194e-07
HELDEJ_SL,5.77428e-06,7.43826e-08
XEVHEN_clean,2.83498e-05,7.24394e-07
GEDTAM_clean,1.01168e-05,3.80322e-07
