type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63
RSM0001,0.18223792,-0.052778434,-0.025544835,0.06903792,0.029065704,-0.09969002,-0.05961714,0.045185998,-0.009621638,-0.018773982,-0.1577318,0.012376932,0.028340044,0.12140944,-0.009764762,-0.07460559,-0.0028007084,0.141223,0.008262484,0.03491501,0.028810509,0.036006797,0.0981388,0.05978615,-0.087274544,-0.051497117,0.11102457,-0.028097415,-0.15029188,-0.12889598,0.06776593,-0.0054096878,0.0934243,0.09503806,0.03360904,-0.014801894,0.01870705,0.15593277,-0.030861687,-0.13042733,-0.1098428,-0.025176018,0.015759083,-0.02503141,-0.004129014,0.04422977,0.03908542,0.018760912,0.025280785,0.14403401,0.01516605,0.10004629,0.11729335,0.07898504,-0.0619319,0.03696615,0.058077104,0.06493654,-0.0036908805,-0.104176216,-0.053878434,0.05886356,0.003976745,0.08749568
RSM0002,0.19163293,-0.036969002,-0.028788116,0.058118816,0.024159504,-0.08828563,-0.060772367,0.026988594,-0.0054288143,-0.031064775,-0.16909891,0.0323958,0.034067836,0.12749903,-0.012629138,-0.06850107,-0.0103295185,0.14789827,-0.012164882,0.011576541,0.023956757,0.016861793,0.09654691,0.06384545,-0.087650985,-0.054610744,0.117778815,-0.014901847,-0.13795722,-0.12162414,0.078931145,-0.0083208,0.108718134,0.09110453,0.043586172,-0.020456383,0.016649578,0.16183922,-0.02677693,-0.13803038,-0.10098979,-0.032369044,0.02244062,-0.016294234,-0.02799569,0.04351257,0.045944117,0.0048196753,0.014562945,0.1335669,0.00983656,0.09540278,0.11120805,0.08465221,-0.062548965,0.048998076,0.060546633,0.04930379,-0.013195095,-0.08943992,-0.06596902,0.06981289,0.011091046,0.068308614
RSM0003,0.19366732,-0.030187031,-0.033241887,0.05251528,0.0070672645,-0.09293296,-0.06560792,0.047242776,-0.0027634131,-0.02025678,-0.16125822,0.025900062,0.035871193,0.15382513,0.003589689,-0.07870388,-0.009521967,0.14716785,-0.0127068525,0.030768164,0.013018519,0.026427096,0.078056715,0.06770494,-0.10255076,-0.0320505,0.12216571,-0.024347592,-0.14815997,-0.12180103,0.059030592,-0.011887907,0.09347873,0.07703153,0.025631145,-0.00011047335,0.008136436,0.15500475,-0.022360703,-0.13889866,-0.102085896,-0.021285536,-0.001624009,-0.023286352,-0.022814175,0.034086507,0.064341344,0.0036810094,0.04467822,0.12449751,0.0013579838,0.10082268,0.1104784,0.08209528,-0.035923343,0.0418163,0.055343736,0.05866092,-0.008305868,-0.103454866,-0.0410075,0.051069885,0.015339184,0.07135766
RSM0004,0.18715923,-0.060078487,-0.02062409,0.07179478,0.03174585,-0.106986,-0.0592801,0.02998436,-0.020055654,-0.029870884,-0.1655346,0.0012027574,0.038332507,0.12586688,-0.007703683,-0.052408013,0.012184212,0.12216759,-0.01744171,0.033247855,0.024318632,0.0055099344,0.0902097,0.07368392,-0.109548844,-0.03347721,0.12403483,-0.013409461,-0.15080687,-0.120070525,0.06864295,-0.008055953,0.09673065,0.08935614,0.046635486,-0.021295777,0.020962162,0.17308345,-0.018442687,-0.12124263,-0.09428608,-0.044256646,0.013308612,-0.01662787,-0.02781469,0.05426616,0.04570491,0.01616496,0.03384847,0.14429154,0.018788109,0.07391641,0.11701401,0.061679598,-0.046569694,0.030804452,0.057318512,0.073956914,-0.0050773616,-0.08434254,-0.062070396,0.062911116,0.00736028,0.066928826
RSM0008,0.25223476,-0.042562053,-0.044296183,0.08412401,0.020519529,-0.13139236,-0.054741763,0.04611789,-0.045316055,-0.020460993,-0.2031387,0.010913048,0.08044337,0.18584234,-0.050739672,-0.11717067,0.008669101,0.1727029,-0.012223512,0.03567033,0.025545154,0.03742429,0.12771435,0.086564645,-0.13665682,-0.036663607,0.1351446,-0.002893547,-0.197231,-0.14591599,0.07309877,0.0016480358,0.17644742,0.114033096,0.069232285,0.012524902,-0.0026367756,0.21043389,-0.043128308,-0.1725321,-0.12328384,-0.034884054,0.010875518,-0.023121515,-0.05505942,0.053740326,0.053641632,0.0018975106,0.035117872,0.16682549,0.018115861,0.1115558,0.14450172,0.103649944,-0.052662123,0.011428743,0.078411706,0.096855715,-0.04188295,-0.118971854,-0.052420966,0.06232015,0.027302463,0.10158454
RSM0009,0.2784628,-0.053475674,-0.03402273,0.06267976,0.034958854,-0.11092112,-0.051702823,0.04145411,-0.027292622,-0.014738407,-0.19232671,0.030947547,0.07027669,0.18173075,-0.040594526,-0.098659925,0.006563035,0.17834875,-0.011910069,0.03621778,0.007823562,0.025216656,0.113303445,0.08045951,-0.11236498,-0.060311586,0.14665346,0.0014221473,-0.1759315,-0.15854049,0.08073928,0.0021905657,0.18050508,0.124206126,0.07643188,0.028389508,0.016198382,0.21165295,-0.038378764,-0.16633308,-0.1445941,-0.03606378,0.0030495552,-0.014100982,-0.042751547,0.056993674,0.07677294,0.0004346945,0.044276964,0.16456588,-0.006757381,0.11014198,0.15137906,0.09419562,-0.040273327,-0.0009479709,0.08767146,0.092189275,-0.03368946,-0.11766189,-0.036782186,0.069120094,0.008693438,0.09399172
RSM0010,0.2513737,-0.07206244,-0.044867847,0.08287296,0.020539474,-0.12293099,-0.10123491,0.050646987,-0.041387275,-0.039894085,-0.18871059,0.011134326,0.04466339,0.17009817,0.006852215,-0.09310437,-0.03129477,0.20284538,0.012768736,0.019466603,0.0066025783,0.035661936,0.11969836,0.0859566,-0.13353343,-0.07426482,0.15670867,-0.027427686,-0.20726554,-0.18253976,0.07717443,-0.03957188,0.13761866,0.11393309,0.0345903,-0.027174346,0.002054316,0.22313836,-0.022952681,-0.16502695,-0.117470175,-0.03678513,0.0002462422,-0.0484612,-0.01936965,0.07451351,0.078238465,0.019214556,0.05029527,0.19077618,0.0021125204,0.10203966,0.14908841,0.08827078,-0.05032867,0.046084084,0.07254522,0.061103575,5.800819e-05,-0.13193087,-0.08853205,0.08296747,0.004470148,0.10480153
RSM0011,0.25232902,-0.08975678,-0.030946253,0.08920714,0.025490327,-0.10536455,-0.07740804,0.066561446,-0.054759733,-0.02660027,-0.1865505,0.0045258324,0.07288688,0.15762499,-0.019082045,-0.083869055,-0.03079133,0.19325353,0.018131312,0.022034636,0.015052586,0.045775276,0.11439178,0.07039482,-0.12834272,-0.04475283,0.1505505,-0.0040795673,-0.22185741,-0.17421566,0.06504708,-0.0048746276,0.124898106,0.13701327,0.056498945,-0.035248566,0.0044673025,0.19855417,-0.029556537,-0.16247357,-0.13275306,-0.04784876,-0.009498612,-0.041497566,-0.05577891,0.08454915,0.07560389,0.027759554,0.01498352,0.16747823,0.01152316,0.09418518,0.14209522,0.10575188,-0.044685084,0.021080008,0.070426606,0.058896516,-0.02055286,-0.10177499,-0.061473567,0.060826678,-0.010455931,0.11719662
RSM0012,0.2433897,-0.10438371,-0.03468144,0.073307,0.030190172,-0.101165555,-0.05450599,0.056049347,-0.05828216,-0.03219638,-0.19500394,0.011151007,0.0718736,0.14550507,-0.018912459,-0.090650305,-0.03465381,0.18546045,0.014529693,0.048987553,0.004967388,0.02724668,0.06956902,0.09695216,-0.088348076,-0.021704536,0.12764634,-0.014219301,-0.2638902,-0.16741592,0.072075866,0.0076581263,0.16114984,0.1286271,0.05463374,-0.038518295,-0.0005112426,0.16891924,-0.04026772,-0.15439105,-0.13995863,-0.013783058,-0.025211062,0.0041833497,-0.075812876,0.086411774,0.060531203,0.050634824,-0.0064324173,0.16562556,-0.0040907073,0.0940734,0.1597904,0.105230115,-0.04747559,0.020311492,0.07337806,0.060937166,-0.021561367,-0.10041752,-0.05936088,0.059230592,0.013384555,0.09624054
RSM0015,0.2910154,-0.070400104,-0.06426176,0.10301095,0.038128257,-0.15078309,-0.11298746,0.05435548,-0.01348982,-0.036422603,-0.21636863,0.01975886,0.061572026,0.19168687,0.013760447,-0.08687838,-0.008804612,0.21457331,-0.0143127795,0.02837471,0.01879298,0.024258928,0.13573556,0.09936189,-0.16070369,-0.07246784,0.1781387,-0.043357976,-0.21967067,-0.19324502,0.09254066,-0.034355383,0.14350158,0.14199233,0.03496185,-0.036335036,-0.00043596924,0.25178328,-0.02803421,-0.2075953,-0.15948711,-0.049906958,0.011986553,-0.039838366,-0.004638696,0.06922398,0.06790654,0.022117347,0.032374334,0.20483904,0.021908075,0.13744265,0.16050734,0.11381643,-0.08411743,0.060094688,0.071663566,0.07670269,0.016422061,-0.14735316,-0.08615395,0.08158533,0.00056761404,0.11094055
