Database,Writing style,Hash or text,dm,Vector size,Window size,Learning rate,Epochs,Train R2,Test R2,Fine-tune train R2,Fine-tune test R2,NN train R2,NN test R2,wandb_id
qmof,sentence,Text,1,512,500,1E-04,40,0.29952,0.00385,,,,,
Qmof,Paragraph,Text,1,512,500,1E-04,40,0.29473,-0.00441,,,,,
qmof,Paragraph,Text,1,512,300,1E-04,40,0.29323,-0.00693,,,,,
qmof,Paragraph,Text,1,512,300,1E-04,100,0.27369,0.00104,,,,,
qmof,Paragraph,Hash,1,512,300,1E-04,100,0.26901,0.01758,,,,,
qmof,Paragraph,Hash,0,512,300,1E-04,100,0.27581,-0.00672,,,,,
qmof,paragraph,Hash,1,512,300,1E-04,200,0.25716,0.00751,,,,,
qmof,Paragraph,Hash,1,512,300,1E-04,200,0.24899,0.01834,,,,,
qmof,paragraph,hash,1,512,100,1E-04,200,0.25025,4E-05,,,,,
qmof,paragraph,hash,1,512,300,1E-03,100,0.25357,0.01279,,,,,
qmof,Paragraph,hash,1,512,300,1E-02,100,0.73991,0.56996,0.91799,0.6301,,,
qmof,paragraph,hash,1,512,300,1E-02,40,0.7491,0.58743,,,,,
qmof,paragraph,Hash,1,512,300,1E-02,20,0.49945,0.28443,,,,,
qmof,paragraph,hash,1,512,20,1E-02,40,0.60264,0.42354,,,,,
qmof,Paragraph,Hash,1,512,100,1E-02,40,0.73214,0.57889,,,,,
qmof,Paragraph,Text,1,512,100,1E-02,40,0.7314,0.59665,,,,,
qmof,sentence,Text,1,512,100,1E-02,40,0.73414,0.57556,,,,,
qmof,Paragraph,Text,1,512,100,1.5E-02,40,0.74385,0.6092,0.93976,0.66686,,,
qmof,Paragraph,Text,1,512,100,1E-01,40,0.53908,0.29777,,,,,
qmof,Paragraph,Text,1,512,100,2E-02,40,0.74004,0.58872,,,,,
qmof,paragraph,text,1,640,100,1.5E-02,40,,,0.94316,0.66207,,,
qmof,Paragraph,Text,1,256,100,1.5E-02,40,0.72416,0.58305,,,,,
qmof,Paragraph,Text,1,1024,100,1.5E-02,40,0.76459,0.60551,0.94947,0.65997,0.86308,0.73956,
qmof+rsm,paragraph,text,1,512,100,1.5E-02,40,0.73561,0.5972,0.93084,0.65445,,,
qmof+rsm,Paragraph,Text,1,256,100,1.5E-02,50,0.72023,0.57385,,,,,offline-run-20230322_090158-5g2g0n42
qmof+rsm+hMOF,paragraph,text,1,256,100,1.5E-02,50,0.70191,0.54484,,,,,offline-run-20230322_090901-n5cq6ork
qmof+rsm+hMOF,paragraph,text,1,512,100,1.5E-02,80,0.72531,0.57047,0.93471,0.63002,,,offline-run-20230322_103226-az06yo9v
